
'0:00.571',-0.048,-0.153,-0.105,0.098,0.028,-0.128,-0.003,-0.145,-0.235,-0.273,-0.170,-0.115
'0:00.572',-0.050,-0.153,-0.103,0.100,0.025,-0.128,-0.003,-0.153,-0.235,-0.270,-0.170,-0.118
'0:00.573',-0.053,-0.155,-0.103,0.103,0.025,-0.128,0.000,-0.153,-0.230,-0.265,-0.168,-0.115
'0:00.574',-0.050,-0.155,-0.105,0.103,0.028,-0.130,0.000,-0.148,-0.225,-0.260,-0.170,-0.115
'0:00.575',-0.045,-0.150,-0.105,0.098,0.030,-0.130,-0.005,-0.148,-0.230,-0.263,-0.175,-0.118
'0:00.576',-0.040,-0.148,-0.108,0.093,0.033,-0.128,-0.008,-0.153,-0.233,-0.265,-0.178,-0.123
'0:00.577',-0.040,-0.150,-0.110,0.095,0.033,-0.128,-0.003,-0.155,-0.230,-0.265,-0.173,-0.120
'0:00.578',-0.048,-0.158,-0.110,0.103,0.030,-0.133,0.005,-0.145,-0.223,-0.265,-0.168,-0.113
'0:00.579',-0.053,-0.160,-0.110,0.105,0.028,-0.135,0.005,-0.138,-0.225,-0.265,-0.168,-0.110
'0:00.580',-0.050,-0.158,-0.108,0.103,0.028,-0.133,0.000,-0.140,-0.233,-0.263,-0.170,-0.115
'0:00.581',-0.048,-0.155,-0.108,0.098,0.030,-0.130,-0.003,-0.150,-0.235,-0.263,-0.168,-0.120
'0:00.582',-0.048,-0.155,-0.108,0.100,0.030,-0.130,0.003,-0.153,-0.228,-0.265,-0.165,-0.118
'0:00.583',-0.050,-0.155,-0.105,0.103,0.028,-0.130,0.010,-0.150,-0.225,-0.265,-0.168,-0.113
'0:00.584',-0.053,-0.153,-0.100,0.103,0.023,-0.125,0.013,-0.150,-0.230,-0.263,-0.173,-0.115
'0:00.585',-0.050,-0.148,-0.095,0.100,0.023,-0.120,0.008,-0.153,-0.240,-0.263,-0.178,-0.120
'0:00.586',-0.050,-0.145,-0.095,0.098,0.023,-0.120,0.005,-0.153,-0.245,-0.270,-0.175,-0.120
'0:00.587',-0.050,-0.145,-0.098,0.098,0.025,-0.123,0.003,-0.150,-0.243,-0.275,-0.170,-0.115
